,en,yb,yb_b,word_type,word_type_label
1644,cover,lekapte," likapti - ŋ́kápté, káptɛ́ (ŋ́káptí, káptá)",1,verb
1648,cover a roof,lifhi," leswhi - éswhi, swhiɛ̄ (ńfhi, fhiā)",1,verb
1650,cover of grass or hair,letsɛ̄t," litsɛ̄t - ńtsɛ́t, tsɛ́tɛ́ (ńtsɛ́t, tsɛ́lá)",1,verb
1651,cover with earth ridges,lifogo," lefoko - éfokō, fokō (ńfogō, fogō)",1,verb
1653,coverage,aplangé,aplɛŋgɛ̄,0,noun
1655,cowries,lepe,lipʉ̄ē,0,noun
1657,crab,ká,ká / kámbuŋ,0,noun
1659,crack,leka’te," lika’ti - ŋ́ka’tē, ka’tɛ̄ (ŋ́ka ’t ī, ka’tā)",1,verb
1660,crafty,ligik," leyik - ŋ́gik, yikɛ̄ (ŋ́gik, gigā)",1,verb
1662,cram (tighten),lesem," lisem - ésem, semɛ̄ (ńsem, semā)",1,verb
1663,crawl,lekɔ̄ŋ," likɔ̄ŋ - ŋ́kɔ́ŋ, kɔ́ŋɔ́",1,verb
1664,crazy,apia,,0,noun
1665,crazy (crazy),apia,,0,noun
1668,crazy (hammer),kwe / azap,azap,0,noun
1672,crazy (nuts),atá,,0,noun
1674,crease,lekaate," likaati - ŋ́kááté, káátɛ́ (ŋ́káátí, káátá)",1,verb
1676,create,lipō," lepɔ̄ - ḿbɔ́, pɔ́ɔ́ (ḿbó, póó)",1,verb
1678,creator,mbɔ̄,,0,noun
1679,crest of the cock,akikia,atittia (plafond) / akikia (),0,noun
1681,cricket,kʉtshɛ,anta,0,noun
1683,crocodile,ŋgantshi,ŋgā-ntseh,0,noun
1685,crocodilidés (crocodile),ŋgantshi,ŋgā-ntseh,0,noun
1687,crook,kukhu,,0,noun
1689,cross,lema’," lima’ - ḿma’, ma’ā",1,verb
1692,cross talk in,levhoote," livhɔɔti - ḿvhóóté, vhóótɛ́ (ḿvhɔ́ɔ́tí, vhɔ́ɔ́tá)",1,verb
1694,crouch,letso’ne," litswe’li - ńtsó’né, tsó’nɛ́ (ńtswé’lí, tswé’lá)",1,verb
1696,crowd,alā’,,0,noun
1697,crown (bottom),atseŋ,,0,noun
1698,crown (middle),tsetsɛlɛ /tsetsɛtɛ,tsitsɛlɛ,0,noun
1702,crumb,lesa,lisa,0,noun
1703,crumble,lekiine," likiili - ŋ́kiinē, kiinɛ̄ (ŋ́kiilī, kiilā)",1,verb
1707,crush,lechʉ," lichʉ - ńchʉ, chʉɛ̄ (ńchʉ, chʉē)",1,verb
1711,cry,lela," lila - úda, laa",1,verb
1712,cry (song),azɔp,,0,noun
1713,cry of joy,lipe,lepɛ,0,noun
1715,cry of pain,ŋguŋ,,0,noun
1716,crying out loud,lega’te," liga’ti - ŋ́ga’tē, ga’tɛ̄ (ŋ́ga’tī, ga’tā)",1,verb
1717,CT (cat),meŋweéntsaŋ / askaŋ / pusi,púsi,0,noun
1725,ct-scan (cat),meŋweéntsaŋ / askaŋ / pusi,púsi,0,noun
1729,cultivate,lejʉ̄’," lijʉ’ - ńjʉ́’, jʉ́’ɛ́ ( ńjʉ́ ’, jʉ́’é)",1,verb
1730,cultivated plot,ana,,0,noun
1731,cultivated plot in the immediate vicinity of the house,mepɔ’ɔ,mepu’ɔ,0,noun
1733,cultivated portion,leplɛ,liplɛ,0,noun
1734,culture,lenāŋ,lināŋ,0,noun
1735,cup,kɔ́p,kʉ̄ɔp,0,noun
1737,cure,lete," litue - úte, tuɛ̄ (ńtue, tuē)",1,verb
1739,curse,ndɔ,,0,noun
1742,curved blade which is used to scrape the mortar,ŋkhu,ŋkua,0,noun
1744,cushion,lepā’,lipā’ / likāt,0,noun
1746,cut,likɔ̄’," lekʉ̄ɔ̄’ - ŋ́kʉ̄ɔ́’, kʉ̄ɔ́’ɔ́ (ŋ́kǝ́ ’, kǝ́’ǝ́)",1,verb
1756,cut (banana,lewɛt," liwat - ŋ́gwɛt, wɛtɛ̄ (ŋ́gwat, walā)",1,verb
1757,cut (banana tree),liwat," lewɛt - ŋ́gwɛt, wɛtɛ̄ (ŋ́gwat, walā)",1,verb
1758,cut into pieces,letsiite," litsiiti - ńtsiitē, tsiitɛ̄ (ńtsiitī, tsiitā)",1,verb
1759,cynocephalus,ŋgiŋɛ,andiŋa,0,noun
1761,damage,njú,,0,noun
1762,dance,lezeŋ,lizeŋ,0,noun
1766,dance of this association,ku’ŋgaŋ,,0,noun
1767,dance of women in right,kwáŋ,,0,noun
1768,dangerous,pígá pígá,píkɛ́ píkɛ́,0,noun
1770,dangerous (dangerous),pígá pígá,píkɛ́ píkɛ́,0,noun
1772,dark,amɔn̄zém,,0,noun
1773,dark (desert),ŋgɔŋmenyi,kɔ́ŋɔ́ mekwa’né,0,noun
1776,dark (light),aŋaŋá,aŋaŋŋ,2,adjective
1778,dark night,etsō’,etswe’,0,noun
1780,darken,lesēŋ," lisēŋ - éséŋ, séŋɛ́ (ńséŋ, séŋǝ́)",1,verb
1781,darkness,nzém,,0,noun
1782,darkness (night),ŋkɔ́’ɔtswɛt,ŋkɔ’ɔ́tswɛt,0,noun
1784,date (old age),lelʉɛ,lilʉ̄ǝ,0,noun
1786,daughter,momengwí,mɔmenzwí,0,noun
1788,dawn,ndaánjhʉ̄,,0,noun
1789,day,ale’é,ali ’í,0,noun
1791,daylight,táŋazokó,taŋazwégé,0,noun
1793,dazzle,letsaane," litsaali - ńtaanē, tsaanɛ̄ (ńtsaalī, tsaalā)",1,verb
1794,dead,ligwhʉ̄,lewhʉ̄,0,noun
1797,dead banana leaves,ndiɛkendɔŋ,ntsua akundɔŋ,0,noun
1799,deaf,atsɛ́t mētuúŋ,atsɛt-metoóŋ,0,noun
1801,deaf-mute,mbu’nchu,tɛmbú’,0,noun
1803,death (loss),pii,pi,0,noun
1804,debt,njú,,0,noun
1805,decant,lepwɛt," lipwɛt - ḿbwɛt, pwɛtɛ̄ (ḿbwɛt, pwɛlā)",1,verb
1806,decapitate,lekīŋ," litiŋ - ŋ́kíŋ, kíŋɛ́ (ńtíŋ, tíŋá)",1,verb
1808,decay,api,,0,noun
1809,decayed (old),nzweŋ,nzwiŋ,0,noun
1811,deceive,lefʉʉte," lifʉʉti - éfʉʉtē, fʉʉtɛ̄ (ńfʉʉtī, fʉʉtā)",1,verb
1815,deception,mekɛ̄t,,0,noun
1817,decorative bird with red feathers,ŋgu,,0,noun
1818,decrease,likwieti," letswɛtte - útswɛ́tté, tswɛ́ttɛ́ (ŋ́kwíétí, kwíétá)",1,verb
1820,decrypt (without),té,tí,4,preposition
1822,deem (consider),ligu’ti," lewu’te - ŋ́gu’tē, wu’tɛ̄ (ŋ́gu’tī, gu’tā)",1,verb
1824,deem (to watch),lecʉ," licʉ - ńcʉ, cʉʉ̄",1,verb
1826,deep part of a stream,leteŋ,liteŋ,0,noun
1827,defame,licop," lecɔp - ńcɔp, cɔpɔ̄ (ńchɔp, cɔbā)",1,verb
1832,defect,alɔ́’,,0,noun
1833,defect (fault),mefa,,0,noun
1834,defend,letɔ’," litɔ’ - ńtɔ, tɔ’ɔ̄ ( ńtɔ’, tɔ’ɔ̄)",1,verb
1835,defender,ntɔknzem,,0,noun
1836,defer (postpone),lifogǝ," lefēŋ - éféŋ, féŋɛ́ (ńfégǝ́, fégǝ́)",1,verb
1839,definitively conclude a sale,life," lefɛ̄ - éfɛ́, fíɛ́ (ńfé, féé)",1,verb
1841,deflate,liswhɛ," leswhiɛ - éswhiɛ, swhiɛ̄ (ńswhiú, swhiā)",1,verb
1843,defoliate,lekāp," likāp - úkáp, kápá (ŋ́káp, kábá)",1,verb
1844,deform,leŋɔ’ne," liŋɔ’li - ŋ́ŋɔ́’né, ŋɔ́’nɛ́ (ŋ́ŋɔ́’lí, ŋɔ́’lá)",1,verb
1845,dégouter,lepek," lipēk - ḿbék, pékɛ́ (ḿbék, pégé)",1,verb
1846,delay (adjourn),lifogǝ," lefēŋ - éféŋ, féŋɛ́ (ńfégǝ́, fégǝ́)",1,verb
1849,delay (back),leshuŋte - éshuŋtē,shuŋtɛ̄,1,verb
1850,delay (return),lepiŋne - ḿbiŋnē,piŋnɛ̄,1,verb
1851,delete,lepīk," lipīk - ḿbík, píkɛ́ (ḿbík, pígá)",1,verb
1853,delete (cancel),lile’ti," lelɛ’te - údɛ’tē, lɛ’tɛ̄ (ńde’tī, le’tā)",1,verb
1855,delete (remove),lelōk," lifōk - éfók, fókó (ńfók, fógó)",1,verb
1856,delve superficially,leta’te," lita’ti - úta’tē, ta’tɛ̄ ( ńta’tī, ta’tā) ",1,verb
1857,demand (request),lilo," lelɔ̄ - ńdɔ́, lɔ́ɔ́ (ńdó, lóó)",1,verb
1861,demijohn,jɔ́ɔk,,0,noun
1862,demolish,lekyakte," likyati - ŋ́kyaktē, kyaktɛ̄ (ŋ́kyatī, kyatā)",1,verb
1864,demon,esī tepɔŋ,esitipɔŋ,0,noun
1866,demonstrate,leghiite," lighiti - ŋ́ghííté, ghíítɛ́ (ŋ́ghítí, ghítá)",1,verb
1868,demonstrate (be),legɔ̄ / lewɔ̄," lipɔ̄ - ŋ́gɔ́, gɔ́ɔ́ (ḿbɔ̄, pɔ̄ɔ̄)",1,verb
1870,demonstrate (show),lesa’ne," lisa’li - ésá’né, sá’nɛ́ (ńsá’lí, sá’lá)",1,verb
1873,demonstration (march),leziŋ,,0,noun
1875,denounce,lekyakne - ŋ́kyákné,kyáknɛ́,1,verb
1876,deny,lile’ti," lelɛ’te - údɛ’tē, lɛ’tɛ̄ (ńde’tī, le’tā)",1,verb
1878,deposit (nest),ŋka,,0,noun
1879,depression (fatigue),lekā,lika,0,noun
1880,deprivation (default),alɔ́’,,0,noun
1881,descend,lecū," licū - ńcú, cúú",1,verb
1884,descent,lizhɛɛ́,lezhiɛ́,0,noun
1886,desert,ŋgɔŋmenyi,kɔ́ŋɔ́ mekwa’né,0,noun
1889,Desert (lean),aŋaŋá,aŋaŋŋ,2,adjective
1891,desire,lesē," lisǝ̄ - ésé, shʉ́ɛ́ (ńsǝ́, sǝ́ǝ́)",1,verb
1894,despair,atabli,atapne,0,noun
1896,despise,lewāk," liwāk - ŋ́gwák, wáká (ŋ́gwák, wágá)",1,verb
1897,destination (destiny),mbɔ̄,,0,noun
1898,Destiny (band),nno,enɔ,0,noun
1900,destroy,lekyakte," likyati - ŋ́kyaktē, kyaktɛ̄ (ŋ́kyatī, kyatā)",1,verb
1905,destroy (kill),lizwhɛ́," lezwhī - ńzwhí, zwhíɛ́ (ńzwhɛ́, zwhɛ́ɛ́)",1,verb
1907,destructive,pígá pígá,píkɛ́ píkɛ́,0,noun
1909,detach,likē’ɛ́," lekɛ̄’ɛ́ - ŋ́kɛ́’ɛ́, kɛ́’ɛ́ (ŋ́ké’ɛ́, ké’ɛ́ɛ́)",1,verb
1913,detail,lesap," lisap - ésap, sapā (ńsap, sabā)",1,verb
1914,deteriorate,lepek," lipēk - ḿbék, pékɛ́ (ḿbék, pégé)",1,verb
1915,determine (fix),lecʉ," licʉ - ńcʉ, cʉʉ̄",1,verb
1917,Deutsche Mark (brand),aligli,ayiŋne,0,noun
1919,devastating,pígá pígá,píkɛ́ píkɛ́,0,noun
1921,deviate,leteŋɛ - úteŋē,teŋɛ̄,1,verb
1922,device (all),lezeŋne," lizeŋli - ńzéŋné, zéŋnɛ́ (ńzéŋlí, zéŋlá)",1,verb
1923,device (system),ntsho,ntswhɛ,0,noun
1925,devour with gusto,likʉe," lekʉɔ - ŋ́kʉɔ̄, kʉɔ̄ (ŋ́kʉe, kʉē)",1,verb
1927,dew,amʉ’,,0,noun
1928,diagonal to solidify a stool,ŋkɛ,,0,noun
1929,diamond,kemu’,kúmʉ̄’/ kúmu’,0,noun
1931,diaphragm,kékʉ́p,kʉ́kʉ́ép,0,noun
1933,diarrhea,livem likhuu,levem-lekhʉ̄u,0,noun
1935,dibble wood,ŋkhu,ŋkua,0,noun
1937,dick (penis),likʉet,lekʉɛt,0,noun
1939,die,lekwhʉ̄," likwhʉ̄ - ŋ́kwhʉ̄, kwhʉ̄ɛ́ (ŋ́kwhʉ̄, kwhʉ̄é)",1,verb
1940,die (die),lekwhʉ̄," likwhʉ̄ - ŋ́kwhʉ̄, kwhʉ̄ɛ́ (ŋ́kwhʉ̄, kwhʉ̄é)",1,verb
1941,diesel,mblɛzíiŋ,,0,noun
1942,diesel (gasoil),mblɛzíiŋ,,0,noun
1944,differ,litswhe," letswhi - ńtswhi, tswhīɛ (ńtswhe, tsweē)",1,verb
1946,differentiate,letswhiite - ńtswhiitē,tswhiitɛ̄,1,verb
1947,dig,lelu’," lilu’ - ńdń’, lń’ɔ́",1,verb
1950,dig deeper,lefho," lifū - éfhó, fhɔ́ɔ́ (ńfú, fúú)",1,verb
1952,dig up,lefu’," lifu’ - éfu’, fu’ɔ̄ (ńfu’, fu’ɔ̄)",1,verb
1955,digging force with,lekup - ŋ́kup,kupɛ,1,verb
1956,dilapidated (lame),apǝ́’ akhu,apwɔ’ɔ́khu,0,noun
1958,dilute,lesaŋ," lisaŋ - ésaŋ, saŋā (ńsaŋ, saŋā)",1,verb
1959,dip,litsaba," letsapa - ńtsapā, tsapā (ńtsabā, tsabā)",1,verb
1961,direction,eshhʉ̄,,0,noun
1962,dirt,nchʉ́,,0,noun
1965,dirty (water),letɔ̄p," litɔ̄p - ńtɔ́p, tɔ́pɔ́ (ńtɔ́p, tɔ́blá)",1,verb
1966,disaccharide (sugar),lǝǝ́lǝǝ́,shúka,0,noun
1968,disagree,lili’li," lelu’ne - údu’nē, lu’nɛ̄ (ńdi’lī, li’lā)",1,verb
1972,disappear (temporarily),lepiite," lipiiti - ḿbííté, píítɛ́ ( ḿbíítí, píítá)",1,verb
1973,disappearance (death),ligwhʉ̄,lewhʉ̄,0,noun
1976,disappearance (fall),ligwhʉ," lewhʉ - ŋ́gwhʉ, whʉɛ̄ (ŋ́gwhʉ, gwhʉē)",1,verb
1981,disappearance (loss),pii,pi,0,noun
1982,disappoint (wrong),lefʉʉte," lifʉʉti - éfʉʉtē, fʉʉtɛ̄ (ńfʉʉtī, fʉʉtā)",1,verb
1986,discharge,letɔŋ," litɔŋ - ńtɔŋ, tɔŋɔ̄ (ńtɔŋ, tɔnɔ̄)",1,verb
1987,discrimination,ate’ti,atɛ’te,0,noun
1989,discuss,leŋak," liŋak - ŋ́ŋak, ŋakā (ŋ́ŋak, ŋagā)",1,verb
1990,disease,ago,agɔ,0,noun
1992,disease that makes the skin rough,akupte,kuptí,0,noun
1994,disembowel,likyak," lesyak - ésyak, syakā (ńkyak, kyagā)",1,verb
1996,dishevel,lesɛtte - ésɛ́tté,sɛ́ttɛ́,1,verb
1997,disintegrate,likhuli," lekhuune - ŋ́khuunē, khuunɛ̄ (ŋ́khulī, khulā)",1,verb
1999,dislocate,leŋwaŋ," liŋwaŋ - ŋ́ŋwaŋ, waŋā (ŋ́ŋwaŋ, ŋwaŋā)",1,verb
2001,disorder,aŋwaŋ,,0,noun
2006,dispatch (batch),atsékɛ́ ŋ́gyā,atsek-ngya,0,noun
2008,dispatcher (distribute),legap," ligap - ŋ́gap, gapā (ŋ́gap, gabā)",1,verb
2009,dispatcher (leave),legapte," ligapti - ŋ́gaptē, gaptɛ̄ (ŋ́gaptī, gaptā)",1,verb
2011,dispense (distribute),legap," ligap - ŋ́gap, gapā (ŋ́gap, gabā)",1,verb
2012,disperse,leŋwaŋ," liŋwaŋ - ŋ́ŋwaŋ, waŋā (ŋ́ŋwaŋ, ŋwaŋā)",1,verb
2015,display,lepɛlɛ - ḿbɛ́lɛ́,pɛ́lɛ́,1,verb
2017,distance,ŋgia,,0,noun
2018,distant,ndeŋe ndéŋé,ndɛŋɛ ndɛ́ŋɛ́,0,noun
2020,distantly related,ndhu,,0,noun
2021,distinction,ate’ti,atɛ’te,0,noun
2023,distinguish,lepa’te - ḿba’tē,pa’tɛ̄,1,verb
2026,distribute,legap," ligap - ŋ́gap, gapā (ŋ́gap, gabā)",1,verb
2027,distribute (leave),legapte," ligapti - ŋ́gaptē, gaptɛ̄ (ŋ́gaptī, gaptā)",1,verb
2029,disturb,legeene," ligueli - ŋ́geénē, geenɛ̄ (ŋ́guelī, guelā)",1,verb
2035,ditch (fossa),afeŋ,,0,noun
2038,divert,ligɛti," legɛtte - ŋ́gɛ́tté, gɛ́ttɛ́ (ŋ́gɛ́tí, gɛ́tá)",1,verb
2042,divide,legap," ligap - ŋ́gap, gapā (ŋ́gap, gabā)",1,verb
2045,divide (depart),legapte," ligapti - ŋ́gaptē, gaptɛ̄ (ŋ́gaptī, gaptā)",1,verb
2049,divide (separate),lifagli," lefakne - éfaknē, faknɛ̄ (ńfaglī, faglā)",1,verb
2051,divide (split),legap," ligap - ŋ́gap, gapā (ŋ́gap, gabā)",1,verb
2054,divided into several parts,leteete," litʉeti - ńtéété, téétɛ́ (ńtʉ́étí, tʉ́étá)",1,verb
2056,division,agap,,0,noun
2057,dizziness,sésɛ́h,sisɛh,0,noun
2059,dizzy,atsetseŋ,atsitseŋ,0,noun
2061,do,leghʉ," lighʉ - ŋ́ghʉ, ghʉɛ̄ (ŋ́ghʉ, ghʉē)",1,verb
2062,do (make),lecuŋte," litsoŋti - ńcuŋtē, cuŋtɛ̄ (ńtsoŋtī, tsoŋtā)",1,verb
2068,do enough,lepi’," lipi’ - ḿbí’, pí’ɛ́ (ḿbí’, pí’á)",1,verb
2069,do it secretly,lekɔŋ- ŋ́kɔ́ŋné,kɔ́ŋnɛ́,1,verb
2070,do something by mistake,lefaane," lifaali - éfaanē, faanɛ̄ (ńfaalī, faalā)",1,verb
2071,do the lion's share,lifyɛ̄t," leswɛ̄t - éswɛ́t, swɛ́tɛ́ (ńfyɛ́t, fyɛ́lá)",1,verb
2073,do without,letsāk," litsāk - ńtsák, tsáká (ńtsák, tságá)",1,verb
2074,dodge,lefeŋne," lifeŋli - éféŋné, féŋ nɛ́ ( ńféŋ l í, féŋ lá) ",1,verb
2077,dog,mbhʉ̄,,0,noun
2078,domain (country),alā’,,0,noun
2079,domain (funds),ntwɛt,,0,noun
2080,domain (land),esī,,0,noun
2084,donkey,njakási,nzika,0,noun
2086,donkey (case),akʉep,akʉp,0,noun
2088,donuts,meklɛ,,0,noun
2089,doodle,atiite,atiiti,0,noun
2090,door,nchu ŋgyā,,0,noun
2091,dove,ŋgap-manzhɛ,ŋgap-menzhɛ,0,noun
2093,dove (dove),ŋgap-manzhɛ,ŋgap-menzhɛ,0,noun
2095,dove (turtledove),efia,eswia,0,noun
2099,dracher (pay),lipfɛti," lepfɛtte - ḿpfɛttē, pfɛttɛ̄ (ḿpfɛttī, pfɛttā)",1,verb
2103,drag,lelʉɔkne - ńdʉ̄ɔ́kné,lʉ̄ɔ́knɛ́,1,verb
2105,drag on,leta," litá - úta, taā",1,verb
2106,drake (duck),ndɔkfáwu,alela / ndokfao,0,noun
2108,draw,letu’," litū’ - ńtú’, tú’ɔ́ ( ńtú’, tú’ó)",1,verb
2113,draw by flattery,lezɔpte," lizɔpti - ńzɔ́ptɛ́, zɔ́ptɛ́ (ńzɔ́ptí, zɔ́ptá)",1,verb
2114,drawing,atiite,atiiti,0,noun
2115,dream,njʉɔthu,,0,noun
2116,dregs,atseŋ,,0,noun
2117,dresser (bed),lizagli / ligagli," lezyakne - ńzyaknē, zyaknɛ̄ ( ńzaglī/ńjaglī, zaglā/jaglā)",1,verb
2119,dried bark of banana,efɛt,,0,noun
2120,dried fish,mbūŋga,,0,noun
2121,drill,lepu’," lipu’ - ḿbʉ’, pʉ’ɔ̄",1,verb
2125,drill holes,leshʉ’te," lishʉ ’ti - éshʉ’tē, shʉ’tɛ̄ (ńshʉ’tī, shʉ’tā)",1,verb
2126,drink,lenū," linū - ńnú, núú",1,verb
2127,drink greedily,likoŋ," lekuŋ - ŋ́kuŋ, kuŋɔ̄ (ŋ́kɔŋ, kɔŋɔ̄)",1,verb
2129,drip,letse," litsǝ̄ - ńtsé, tséɛ́ (ńtsǝ́, tsǝ́á)",1,verb
2131,drive a wedge,leŋwaŋ," liŋwaŋ - ŋ́ŋwaŋ, waŋā (ŋ́ŋwaŋ, ŋwaŋā)",1,verb
2132,drizzle,fefhombeŋ,fhɔ̄fho mbeŋ,0,noun
2134,drop (remove),lelōk," lifōk - éfók, fókó (ńfók, fógó)",1,verb
2137,dropped (loss),pii,pi,0,noun
2138,drops of water falling from trees or roofs,metsɛ́h,metswhɛ́ / metshɛ́ / metsií,0,noun
2140,Drosophila,zézó’,zízwé’,0,noun
2142,drought,alo,aluŋ,0,noun
2144,drug,afho,afhu,0,noun
2146,drum,alambɛ,,0,noun
2147,drum footed,maŋkat,mɛŋkɛt,0,noun
2149,drunkard,apiá-mēlu’,,0,noun
2150,dry,lizagli," lezakne - ńzákné, záknɛ́ (ńzáglí, záglá)",1,verb
2158,dry off,lijūō," lezō - úzó, júɔ́ (ńjúó, júó)",1,verb
2161,dry out,lijūō," lezō - úzó, júɔ́ (ńjúó, júó)",1,verb
2165,dry season,alo,aluŋ,0,noun
2167,duck,ndɔkfáwu,alela / ndokfao,0,noun
2169,dumb,mbù’nchu,,0,noun
2170,duration (period),afʉ’,,0,noun
2172,duration (time),afʉ’,,0,noun
2177,dusk,nchun̄zém,ntsǝǝti-nzém,0,noun
2179,dust,avɔ́p,,0,noun
2180,dwarf,akwīt,mvógo,0,noun
2182,dynasty,lifo,lefɔ,0,noun
2184,dysentery,akɔ́’,,0,noun
2185,eagle,gónzwi,wúŋ-ŋgwi,0,noun
2187,ear,alɔŋ,,0,noun
2190,early (fast),gha,ghá,5,adverb
2191,earth,esī,,0,noun
2195,earth-worm,ntinteéŋ,ntíútiíŋ / ŋkíŋ́kiíŋ,0,noun
2197,earthworms (land),esī,,0,noun
2201,eat,lejhʉ̄ - újhú,jhúɛ́,1,verb
2204,eat fast,lemiite - ḿmiitē,miitɛ́,1,verb
2205,eat greedily,leŋa," liŋa - ŋ́ŋa, ŋaā",1,verb
2206,echo,agém,apiŋɛŋghi,0,noun
2208,economic (family),atseŋɛ ŋ̄gyá,,0,noun
2209,Economic (home),ŋgyā,,0,noun
2210,economic (household),litshɛ́ ḿmok,letshiɛ́ ḿmōk,0,noun
2212,edge,ligēŋ,legʉ̄ŋ,0,noun
2216,edge (container),ŋgweŋ,,0,noun
2217,edges,ŋguŋɔ,ŋguŋte,0,noun
2219,edges of roof,metsɛ́h,metswhɛ́ / metshɛ́ / metsií,0,noun
2221,Edible Eggplant,síshʉ́h,shúshúh,0,noun
2223,edible fruit,ŋgem,,0,noun
2224,education,azi’ne,,0,noun
2225,Edward Teach (Thatch),epíŋ,,0,noun
2226,effect (echo),agém,apiŋɛŋghi,0,noun
2228,effect (end),lezokó,lizwegé,0,noun
2232,effects,tsitsi,,0,noun
2233,egg,lepo,lipuŋ,0,noun
2235,egg white (mucus),ntsēŋ,,0,noun
2236,eight,lefá / lefaá,lifaá,2,adjective
2237,elbow,atseŋɛ pū,,0,noun
2240,Elder (e),ndik,ŋgik,0,noun
2242,eldest son in a family,asɔba,asɔpɔ,0,noun
2244,elegance,meso,meshuŋ,0,noun
2246,element (piece),akem,,0,noun
2249,elephant,eshue,eshʉ̄ɔ̄,0,noun
2251,eliminate (remove),lelōk," lifōk - éfók, fókó (ńfók, fógó)",1,verb
2256,emaciated (desert),ŋgɔŋmenyi,kɔ́ŋɔ́ mekwa’né,0,noun
2259,embalm,lepok," lipok - ḿbok, pokō (ḿbok, pogɔ̄)",1,verb
2263,embarrassment,atabli,atapne,0,noun
2265,embers,ŋkii,,0,noun
2268,embroider,lemāk," limāk - ḿmák, máká (ḿmák, mágá)",1,verb
2269,empty,ndém ńdēm,ndíńdēm,2,adjective
2271,enable (allow),lipīm," levēŋ - ḿvéŋ, véŋɛ́ (ḿbím, pímá)",1,verb
2273,encompass,lemā," limā - ḿmá, máá",1,verb
2274,encourage,legɛɛte," ligɛɛti - ŋ́gɛɛtē, gɛɛtɛ̄ (ŋ́gɛɛtī, gɛɛtā)",1,verb
2276,end,lethu,,0,noun
2288,end (end),lezokó,lizwegé,0,noun
2297,end (pointed),swíswí,,2,adjective
2298,end (sour),acɔkɔ́,akée,2,adjective
2300,end up (eventually),lemak," limak - ḿmak, makā (ḿmak, magā)",1,verb
2305,endow,lilo," lelɔ̄ - ńdɔ́, lɔ́ɔ́ (ńdó, lóó)",1,verb
2307,endurance,esek,,0,noun
2308,enlarge (extend),lesaŋte," lisaŋti - ésaŋtē, saŋtɛ̄ (ńsaŋtī, saŋtā)",1,verb
2310,enlist (win),lejhʉ̄ - újhú,jhúɛ́,1,verb
2311,enough,ta’,tɛ’,5,adverb
2313,enough to cope,leka’ - ŋ́ka’,ka’a,1,verb
2314,ensure,lecʉʉte," licʉʉti - [0/6] ńcʉʉtē, cʉʉtɛ̄ (ńcʉʉtī, cʉʉtā)",1,verb
2315,enter,leko," likūō - ŋ́kó, kúɔ́ (ŋ́kúó, kúóó)",1,verb
2317,enter (into),leku’te," liku’li - ŋ́kú’té, kú’tɛ́ (ŋ́kú ’t í, kú’tá)",1,verb
2318,entertain,letswɛtte," litswiti - ńtswɛttē, tswɛttɛ̄ (ńtswitī, tswitā)",1,verb
2320,entirely,mbú,,5,adverb
2322,entrust,litsegli," letsekne - ńtsékné, tséknɛ́ (ńtséglí, tséglá)",1,verb
2324,entry,nchu,,0,noun
2325,envelop,lezemte," lizemti - ńzémté, zémtɛ́ (ńzémtí, zémtá)",1,verb
2326,envy,lesē," lisǝ̄ - ésé, shʉ́ɛ́ (ńsǝ́, sǝ́ǝ́)",1,verb
2328,epidemic (early),nzií,,0,noun
2329,epidemic (outbreak),litshɛ́ ḿmok,letshiɛ́ ḿmōk,0,noun
2331,epilepsy,awā’,,0,noun
2332,epilepsy (epilepsy),awā’,,0,noun
2333,equine (horse),lǝ́,lúɔ́,0,noun
2335,Equus caballus (horse),lǝ́,lúɔ́,0,noun
2337,error,mefa,,0,noun
2338,erythrocyte (count),lesāŋ," lisāŋ - ésáŋ, sáŋá (ńsáŋ, sáŋá)",1,verb
2340,escape,liswɛli," leswhiine - éswhiinē, swhiinɛ̄ (ńswɛlī, swɛlā)",1,verb
2342,escarpment,ŋkéŋé,ŋkuŋɛ́,0,noun
2344,esophagus,aŋoko,aŋɔŋɔ,0,noun
2346,establish (prove),leghiite," lighiti - ŋ́ghííté, ghíítɛ́ (ŋ́ghítí, ghítá)",1,verb
2348,establish (show),lena," lina - ńna, naā",1,verb
2350,estimate (appreciate),ligu’," lewu’ - ŋ́gu’, wu’ɔ̄ (ŋ́gu’, gu’ō)",1,verb
2352,estimate (consider),ligu’ti," lewu’te - ŋ́gu’tē, wu’tɛ̄ (ŋ́gu’tī, gu’tā)",1,verb
2354,estimate (judge),leŋak," liŋak - ŋ́ŋak, ŋakā (ŋ́ŋak, ŋagā)",1,verb
2356,estimate (to watch),lecʉ," licʉ - ńcʉ, cʉʉ̄",1,verb
2358,eternity,acuŋo cúŋó,acuŋɔ cúŋɔ́,0,noun
2361,ethnic language (language),alā’,,0,noun
2364,etic (desert),ŋgɔŋmenyi,kɔ́ŋɔ́ mekwa’né,0,noun
2367,etic (lean),aŋaŋá,aŋaŋŋ,2,adjective
2369,eucalyptus,aklatus,aklatúsi,0,noun
2371,Eve,achune,,0,noun
2372,evening,eséŋnjhʉ̄,,0,noun
2373,evening (night),ŋkɔ́’ɔtswɛt,ŋkɔ’ɔ́tswɛt,0,noun
2375,everything written paper,akati,akɛte,0,noun
2377,evil spirit,esī tepɔŋ,esitipɔŋ,0,noun
2379,evoke,lepi’," lipi’ - ḿbí’, pí’ɛ́ (ḿbí’, pí’á)",1,verb
2381,examination (test),akʉ’te,akʉ ’ti,0,noun
